1948 1 1    0.0000    0.0600  -99.0000  -11.5778  -11.2444
1948 1 2    0.5400    0.0630  -99.0000   -5.4389  -13.5222
1948 1 3    0.1800    0.0590  -99.0000   -0.3556  -11.8778
1948 1 4    0.0000    0.0570  -99.0000   -0.3000   -6.4444
1948 1 5    0.0000    0.0550  -99.0000   -0.0333   -8.4389
1948 1 6    0.0000    0.0540  -99.0000   -1.0111  -13.6278
1948 1 7    0.0100    0.0540  -99.0000    4.4611   -8.8944
1948 1 8    0.0000    0.0550  -99.0000    3.3222   -6.4278
1948 1 9    0.0000    0.0570  -99.0000   -0.2222   -7.2278
1948 110    0.1400    0.0590  -99.0000   -2.3111   -8.9500
1948 111    0.1300    0.0630  -99.0000    1.8556   -5.1000
1948 112    0.0000    0.0670  -99.0000   -1.9500  -16.3333
1948 113    0.0500    0.0720  -99.0000  -12.4333  -15.6944
1948 114    0.4400    0.0770  -99.0000   -5.9778  -10.5611
1948 115    0.1800    0.0840  -99.0000   -3.6333  -14.0722
1948 116    0.0000    0.0910  -99.0000  -14.2778   -8.3611
1948 117    0.1200    0.0990  -99.0000  -14.6500   -6.8278
1948 118    0.2000    0.1080  -99.0000   -9.2000  -14.8778
1948 119    0.0300    0.1180  -99.0000   -4.1500  -13.0000
1948 120    0.0600    0.1290  -99.0000   -0.3111  -11.7556
1948 121    0.2200    0.1400  -99.0000   -8.8889  -15.8333
1948 122    0.2800    0.1520  -99.0000  -13.9111   -7.7056
1948 123    0.8800    0.1650  -99.0000  -16.1056   -1.2500
1948 124    0.5100    0.1790  -99.0000  -10.9833  -16.6056
1948 125    0.0100    0.1940  -99.0000   -8.1278  -16.1222
1948 126    0.0000    0.2090  -99.0000  -12.1389   -7.4833
1948 127    0.0000    0.2250  -99.0000  -14.7222   -4.2556
1948 128    0.0000    0.2420  -99.0000   -7.6944   -9.6278
1948 129    0.0000    0.2600  -99.0000   -5.3556  -16.1056
1948 130    0.0000    0.2780  -99.0000   -5.4722  -16.2278
1948 131    0.0200    0.2980  -99.0000   -5.0722  -14.1944
1948 2 1    0.0200    0.3180  -99.0000   -3.2278  -16.0556
1948 2 2    0.1200    0.3380  -99.0000   -8.7222  -12.8000
1948 2 3    0.1500    0.3600  -99.0000  -14.0444  -12.2778
1948 2 4    0.0000    0.3820  -99.0000  -13.3944  -11.3222
1948 2 5    1.2200    0.4050  -99.0000  -11.1833  -13.0722
1948 2 6    0.8400    0.4280  -99.0000  -11.7111  -13.1056
1948 2 7    0.2100    0.4530  -99.0000  -12.1222  -10.9167
1948 2 8    0.0000    0.4780  -99.0000  -16.1444   -4.1111
1948 2 9    0.8500    0.5040  -99.0000  -13.4222  -13.4833
1948 210    1.0000    0.5300  -99.0000  -11.0500  -14.8944
1948 211    0.2900    0.5570  -99.0000  -13.7111  -10.6944
1948 212    0.0200    0.5850  -99.0000   -8.5556   -8.8889
1948 213    0.0700    0.6130  -99.0000   -5.1333  -16.4167
1948 214    0.0000    0.6420  -99.0000   -6.5111  -15.5556
1948 215    0.0000    0.6720  -99.0000    1.8722  -14.9722
1948 216    0.0000    0.7030  -99.0000    4.5444   -7.3722
1948 217    0.0000    0.7340  -99.0000    6.1278   -5.1500
1948 218    0.3400    0.7650  -99.0000    5.1778   -8.6056
1948 219    0.5200    0.7980  -99.0000    1.5944  -15.3722
1948 220    0.0500    0.8300  -99.0000   -7.1333  -13.4944
1948 221    0.0000    0.8640  -99.0000   -4.4056  -14.7556
1948 222    0.6000    0.8980  -99.0000   -2.5444  -10.0278
1948 223    0.3600    0.9330  -99.0000   -0.5778   -4.7278
1948 224    0.0400    0.9680  -99.0000   -0.0278   -7.7667
1948 225    0.0000    1.0040  -99.0000    1.9389  -10.0556
1948 226    9.1600    1.0400  -99.0000    4.1944   -7.4500
1948 227   11.1100    1.0770  -99.0000    2.6222   -2.0167
1948 228    2.7000    1.1140  -99.0000   -1.3000  -10.2889
1948 229    0.1600    1.1520  -99.0000   -5.3556  -14.9278
1948 3 1    0.0500    1.1900  -99.0000   -0.5556  -10.3833
1948 3 2    0.0000    1.2290  -99.0000   -3.7667   -9.5333
1948 3 3    0.0000    1.2680  -99.0000   -4.6722  -14.0333
1948 3 4    0.6300    1.3080  -99.0000   -6.5500  -16.5333
1948 3 5    1.6600    1.3490  -99.0000   -4.7556  -13.0500
1948 3 6    1.6500    1.3890  -99.0000   -5.7722  -12.4444
1948 3 7    0.2800    1.4300  -99.0000   -5.2500  -15.4389
1948 3 8    0.0000    1.4720  -99.0000   -8.5889  -16.4333
1948 3 9    0.0500    1.5140  -99.0000  -15.7444  -12.7222
1948 310    0.0000    1.5560  -99.0000  -16.3833   -7.6722
1948 311    0.0000    1.5990  -99.0000  -10.7556   -5.3611
1948 312    0.0000    1.6420  -99.0000   -0.3111  -16.6000
1948 313    0.0000    1.6850  -99.0000    2.8333  -13.0000
1948 314    0.0000    1.7290  -99.0000    5.1222   -9.0000
1948 315    0.0000    1.7730  -99.0000    1.8722   -4.8722
1948 316    0.0200    1.8180  -99.0000    0.9944   -9.6500
1948 317    0.8500    1.8620  -99.0000    0.7611   -9.9833
1948 318    0.2100    1.9080  -99.0000    5.8722   -1.9556
1948 319    0.1500    1.9530  -99.0000    6.1611   -3.2667
1948 320    0.4500    1.9980  -99.0000    8.4167   -2.6167
1948 321    0.1200    2.0440  -99.0000    4.3222   -2.1722
